"","X","Year","Age","Female","Male","Total"
"4786",4786,2002,12,0.000327032884991035,0.000567876366324381,0.000404
"4787",4787,2002,13,0.000350010967931732,0.000647072175605915,0.000486
"4788",4788,2002,14,0.000423848470782797,0.000797568191311046,0.000515
"4789",4789,2002,15,0.000563131134425247,0.00114384301703208,0.000724
"4790",4790,2002,16,0.000696606999383742,0.00164946358147058,0.001008
"4791",4791,2002,17,0.000777023503361391,0.00206519441962631,0.001308
"4792",4792,2002,18,0.000824846181415688,0.002425955192034,0.001543
"4793",4793,2002,19,0.000904291986413647,0.00294328697855159,0.001789
"4794",4794,2002,20,0.00100647656405837,0.00351369041790868,0.002088
"4795",4795,2002,21,0.000997487367241045,0.00379511181079342,0.002346
"4796",4796,2002,22,0.00109237135172977,0.00425566065063313,0.002525
"4797",4797,2002,23,0.00114549179124755,0.00451058011947609,0.002773
"4798",4798,2002,24,0.00122202725406089,0.00493251084586896,0.002902
"4799",4799,2002,25,0.00131625821762329,0.00518046806289433,0.003228
"4800",4800,2002,26,0.00140859763874664,0.00546625621833874,0.003304
"4801",4801,2002,27,0.00146832982554594,0.0059046312528227,0.00359
"4802",4802,2002,28,0.00152254750294381,0.00626072780809469,0.003823
"4803",4803,2002,29,0.00160778538221002,0.0063397660216098,0.003807
"4804",4804,2002,30,0.00184521457249033,0.00702244051228438,0.004359
"4805",4805,2002,31,0.00181721180313772,0.00688617088738567,0.004404
"4806",4806,2002,32,0.00199821028588365,0.00740807199782998,0.004519
"4807",4807,2002,33,0.00214029444534457,0.00776658050666536,0.004751
"4808",4808,2002,34,0.0022594558422321,0.00857819279875486,0.00509
"4809",4809,2002,35,0.0023416614862537,0.00900566966942105,0.005605
"4810",4810,2002,36,0.00256859708833943,0.00945066728870087,0.005712
"4811",4811,2002,37,0.00275276060787091,0.0101369707719548,0.006154
"4812",4812,2002,38,0.00287682142164779,0.0105976025793499,0.006518
"4813",4813,2002,39,0.00312143638365796,0.0118739171122349,0.006866
"4814",4814,2002,40,0.00346143877213337,0.0129439505615137,0.00808
"4815",4815,2002,41,0.0034878596907599,0.0127808839261991,0.008039
"4816",4816,2002,42,0.00381074008440183,0.0141840907941684,0.008494
"4817",4817,2002,43,0.00414478322694352,0.0150205904692287,0.009052
"4818",4818,2002,44,0.00453067455062013,0.0164177567048765,0.009801
"4819",4819,2002,45,0.00491497377792309,0.0176698538252672,0.010978
"4820",4820,2002,46,0.00534428232983827,0.0187410231696337,0.011003
"4821",4821,2002,47,0.0056470937819434,0.0195853840492669,0.012429
"4822",4822,2002,48,0.00637089520010578,0.0217286812237123,0.01288
"4823",4823,2002,49,0.00670340608459756,0.0232438284523951,0.013522
"4824",4824,2002,50,0.00766052210018933,0.0257185858326265,0.016315
"4825",4825,2002,51,0.00810708922503965,0.0258278889240745,0.015708
"4826",4826,2002,52,0.0083284729995577,0.0264784046742148,0.016917
"4827",4827,2002,53,0.00951070828918863,0.0293247364012382,0.018603
"4828",4828,2002,54,0.0100061076663215,0.0296820924890617,0.017005
"4829",4829,2002,55,0.0106309321281447,0.0309457328440196,0.02228
"4830",4830,2002,56,0.012694344149134,0.036362758432479,0.020337
"4831",4831,2002,57,0.0133469165475638,0.037892779345626,0.022659
"4832",4832,2002,58,0.0146757214999241,0.0408299297169911,0.023882
"4833",4833,2002,59,0.0150121645845603,0.0444222118402357,0.021585
"4834",4834,2002,60,0.0143711542918832,0.0430626385740001,0.029807
